,proyecto,entidad,sectorial,P2017,C2017,D2017,P2018,C2018,D2018,P2019,C2019,D2019,P2020,C2020,D2020,P2021,C2021,D2021,text
3218,   reestructuracion integral e innovacion tecnologica,  ministerio de salud publica,  sectorial salud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246171.40000000002,94394547.53000002,509191.75,162319.53999999998,2478040.2199999997,167622.22,  ministerio de salud publica   reestructuracion integral e innovacion tecnologica  sectorial salud
3219,   reestructuracion integral e innovacion tecnologica del sistema nacional de salud,  ministerio de salud publica,  sectorial salud,8247367.17,52266225.97,9039681.16,4660005.99,218342702.84000003,12688099.190000001,3020427.1100000003,25419428.459999993,3447469.42,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de salud publica   reestructuracion integral e innovacion tecnologica del sistema nacional de salud  sectorial salud
3220,   reforma al sector salud. reestructura del ministerio de salud publica,  ministerio de salud publica,  sectorial salud,1476.0,24663.0,1476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de salud publica   reforma al sector salud. reestructura del ministerio de salud publica  sectorial salud
3221,   reforzamiento de la estructura y rehabilitacion de los edificios de laboratorios de las areas agroindustrial y a,  escuela superior politecnica agropecuaria de manabi manuel felix lopez,  sectorial educacion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  escuela superior politecnica agropecuaria de manabi manuel felix lopez   reforzamiento de la estructura y rehabilitacion de los edificios de laboratorios de las areas agroindustrial y a  sectorial educacion
3222,   regeneracion in vitro de plantas de naranjilla solanum quito ense var. quito ense a partir de tejidos somaticos,  universidad central del ecuador,  sectorial educacion,42070.76,67941.3,42309.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  universidad central del ecuador   regeneracion in vitro de plantas de naranjilla solanum quito ense var. quito ense a partir de tejidos somaticos  sectorial educacion
3223,   regeneracion restauracion y sostenibilidad integral de los espacios de la universidad de guayaquil,  universidad de guayaquil,  sectorial educacion,0.0,0.0,0.0,0.0,2375444.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  universidad de guayaquil   regeneracion restauracion y sostenibilidad integral de los espacios de la universidad de guayaquil  sectorial educacion
3224,   registro de emisiones y transferencias de contamin,  ministerio del ambiente,  sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145764.11,282040.95999999996,147981.96,0.0,15539.93,0.0,  ministerio del ambiente   registro de emisiones y transferencias de contamin  sectorial ambiente
3225,   registro de emisiones y transferencias de contaminantes,  ministerio del ambiente,  sectorial  ambiente,0.0,0.0,0.0,544004.3999999999,2885019.05,546824.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio del ambiente   registro de emisiones y transferencias de contaminantes  sectorial  ambiente
3226,   registro de emisiones y transferencias de contaminantes,  ministerio del ambiente,  sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,409085.64,1495226.6600000001,415419.0200000001,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio del ambiente   registro de emisiones y transferencias de contaminantes  sectorial ambiente
3227,   registro de emisiones y transferencias de contaminantes.,  ministerio del ambiente agua y transicion ecologica,  sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.33,15422.69,624.33,  ministerio del ambiente agua y transicion ecologica   registro de emisiones y transferencias de contaminantes.  sectorial ambiente
