,target,sdg,text
55,G7T1,G7,garantizar el acceso a una energia asequible segura sostenible y moderna de aqui a garantizar el acceso universal a servicios energeticos asequibles fiables y modernos garantizar el acceso a una energia asequible segura sostenible y moderna
56,G7T2,G7,garantizar el acceso a una energia asequible segura sostenible y moderna de aqui a aumentar considerablemente la proporcion de energia renovable en el conjunto de fuentes energeticas garantizar el acceso a una energia asequible segura sostenible y moderna
57,G7T3,G7,garantizar el acceso a una energia asequible segura sostenible y moderna de aqui a duplicar la tasa mundial de mejora de la eficiencia energetica garantizar el acceso a una energia asequible segura sostenible y moderna
58,G7T4,G7,garantizar el acceso a una energia asequible segura sostenible y moderna de aqui a aumentar la cooperacion internacional para facilitar el acceso a la investigacion y la tecnologia relativas a la energia limpia incluidas las fuentes renovables la eficiencia energetica y las tecnologias avanzadas y menos contaminantes de combustibles fosiles y promover la inversion en infraestructura energetica y tecnologias limpias garantizar el acceso a una energia asequible segura sostenible y moderna
59,G7T5,G7,garantizar el acceso a una energia asequible segura sostenible y moderna de aqui a ampliar la infraestructura y mejorar la tecnologia para prestar servicios energeticos modernos y sostenibles para todos en los paises en desarrollo en particular los paises menos adelantados los pequenos estados insulares en desarrollo y los paises en desarrollo sin litoral en consonancia con sus respectivos programas de apoyo garantizar el acceso a una energia asequible segura sostenible y moderna
60,G8T1,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos mantener el crecimiento economico per capita de conformidad con las circunstancias nacionales y en particular un crecimiento del producto interno bruto de al menos el anual en los paises menos adelantados promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
61,G8T2,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos lograr niveles mas elevados de productividad economica mediante la diversificacion la modernizacion tecnologica y la innovacion entre otras cosas centrandose en los sectores con gran valor anadido y un uso intensivo de la mano de obra promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
62,G8T3,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos promover politicas orientadas al desarrollo que apoyen las actividades productivas la creacion de puestos de trabajo decentes el emprendimiento la creatividad y la innovacion y fomentar la formalizacion y el crecimiento de las microempresas y las pequenas y medianas empresas incluso mediante el acceso a servicios financieros promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
63,G8T4,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos mejorar progresivamente de aqui a la produccion y el consumo eficientes de los recursos mundiales y procurar desvincular el crecimiento economico de la degradacion del medio ambiente conforme al marco decenal de programas sobre modalidades de consumo y produccion sostenibles empezando por los paises desarrollados promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
64,G8T5,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos de aqui a lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres incluidos los jovenes y las personas con discapacidad asi como la igualdad de remuneracion por trabajo de igual valor promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
65,G8T6,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos de aqui a reducir considerablemente la proporcion de jovenes que no estan empleados y no cursan estudios ni reciben capacitacion promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
66,G8T7,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso poner fin a las formas contemporaneas de esclavitud y la trata de personas y asegurar la prohibicion y eliminacion de las peores formas de trabajo infantil incluidos el reclutamiento y la utilizacion de ninos soldados y de aqui a poner fin al trabajo infantil en todas sus formas promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
67,G8T8,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos proteger los derechos laborales y promover un entorno de trabajo seguro y sin riesgos para todos los trabajadores incluidos los trabajadores migrantes en particular las mujeres migrantes y las personas con empleos precarios promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
68,G8T9,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos de aqui a elaborar y poner en practica politicas encaminadas a promover un turismo sostenible que cree puestos de trabajo y promueva la cultura y los productos locales promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
69,G8T10,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos fortalecer la capacidad de las instituciones financieras nacionales para fomentar y ampliar el acceso a los servicios bancarios financieros y de seguros para todos promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
70,G8T11,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos aumentar el apoyo a la iniciativa de ayuda para el comercio en los paises en desarrollo en particular los paises menos adelantados incluso mediante el marco integrado mejorado para la asistencia tecnica a los paises menos adelantados en materia de comercio promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
71,G8T12,G8,promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos de aqui a desarrollar y poner en marcha una estrategia mundial para el empleo de los jovenes y aplicar el pacto mundial para el empleo de la organizacion internacional del trabajo promover el crecimiento economico inclusivo y sostenible el empleo y el trabajo decente para todos
72,G9T1,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion desarrollar infraestructuras fiables sostenibles resilientes y de calidad incluidas infraestructuras regionales y transfronterizas para apoyar el desarrollo economico y el bienestar humano haciendo especial hincapie en el acceso asequible y equitativo para todos construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
73,G9T2,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion promover una industrializacion inclusiva y sostenible y de aqui a aumentar significativamente la contribucion de la industria al empleo y al producto interno bruto de acuerdo con las circunstancias nacionales y duplicar esa contribucion en los paises menos adelantados construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
74,G9T3,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion aumentar el acceso de las pequenas industrias y otras empresas particularmente en los paises en desarrollo a los servicios financieros incluidos creditos asequibles y su integracion en las cadenas de valor y los mercados construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
75,G9T4,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion de aqui a modernizar la infraestructura y reconvertir las industrias para que sean sostenibles utilizando los recursos con mayor eficacia y promoviendo la adopcion de tecnologias y procesos industriales limpios y ambientalmente racionales y logrando que todos los paises tomen medidas de acuerdo con sus capacidades respectivas construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
76,G9T5,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion aumentar la investigacion cientifica y mejorar la capacidad tecnologica de los sectores industriales de todos los paises en particular los paises en desarrollo entre otras cosas fomentando la innovacion y aumentando considerablemente de aqui a el numero de personas que trabajan en investigacion y desarrollo por millon de habitantes y los gastos de los sectores publico y privado en investigacion y desarrollo construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
77,G9T6,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion facilitar el desarrollo de infraestructuras sostenibles y resilientes en los paises en desarrollo mediante un mayor apoyo financiero tecnologico y tecnico a los paises africanos los paises menos adelantados los paises en desarrollo sin litoral y los pequenos estados insulares en desarrollo construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
78,G9T7,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion apoyar el desarrollo de tecnologias la investigacion y la innovacion nacionales en los paises en desarrollo incluso garantizando un entorno normativo propicio a la diversificacion industrial y la adicion de valor a los productos basicos entre otras cosas construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
79,G9T8,G9,construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion aumentar significativamente el acceso a la tecnologia de la informacion y las comunicaciones y esforzarse por proporcionar acceso universal y asequible a internet en los paises menos adelantados de aqui a construir infraestructuras resilientes promover la industrializacion sostenible y fomentar la innovacion
80,G10T1,G10,reducir la desigualdad en y entre los paises de aqui a lograr progresivamente y mantener el crecimiento de los ingresos del mas pobre de la poblacion a una tasa superior a la media nacional reducir la desigualdad en y entre los paises
81,G10T2,G10,reducir la desigualdad en y entre los paises de aqui a potenciar y promover la inclusion social economica y politica de todas las personas independientemente de su edad sexo discapacidad raza etnia origen religion o situacion economica u otra condicion reducir la desigualdad en y entre los paises
82,G10T3,G10,reducir la desigualdad en y entre los paises garantizar la igualdad de oportunidades y reducir la desigualdad de resultados incluso eliminando las leyes politicas y practicas discriminatorias y promoviendo legislaciones politicas y medidas adecuadas a ese respecto reducir la desigualdad en y entre los paises
83,G10T4,G10,reducir la desigualdad en y entre los paises adoptar politicas especialmente fiscales salariales y de proteccion social y lograr progresivamente una mayor igualdad reducir la desigualdad en y entre los paises
84,G10T5,G10,reducir la desigualdad en y entre los paises mejorar la reglamentacion y vigilancia de las instituciones y los mercados financieros mundiales y fortalecer la aplicacion de esos reglamentos reducir la desigualdad en y entre los paises
85,G10T6,G10,reducir la desigualdad en y entre los paises asegurar una mayor representacion e intervencion de los paises en desarrollo en las decisiones adoptadas por las instituciones economicas y financieras internacionales para aumentar la eficacia fiabilidad rendicion de cuentas y legitimidad de esas instituciones reducir la desigualdad en y entre los paises
86,G10T7,G10,reducir la desigualdad en y entre los paises facilitar la migracion y la movilidad ordenadas seguras regulares y responsables de las personas incluso mediante la aplicacion de politicas migratorias planificadas y bien gestionadas reducir la desigualdad en y entre los paises
87,G10T8,G10,reducir la desigualdad en y entre los paises aplicar el principio del trato especial y diferenciado para los paises en desarrollo en particular los paises menos adelantados de conformidad con los acuerdos de la organizacion mundial del comercio reducir la desigualdad en y entre los paises
88,G10T9,G10,reducir la desigualdad en y entre los paises fomentar la asistencia oficial para el desarrollo y las corrientes financieras incluida la inversion extranjera directa para los estados con mayores necesidades en particular los paises menos adelantados los paises africanos los pequenos estados insulares en desarrollo y los paises en desarrollo sin litoral en consonancia con sus planes y programas nacionales reducir la desigualdad en y entre los paises
89,G10T10,G10,reducir la desigualdad en y entre los paises de aqui a reducir a menos del los costos de transaccion de las remesas de los migrantes y eliminar los corredores de remesas con un costo superior al reducir la desigualdad en y entre los paises
