id,proyecto,entidad,sectorial,C2017,D2017,C2018,D2018,C2019,D2019,C2020,D2020,C2021,D2021,ctotal,dtotal
P2115S04E609,rehabilitacion de seis sistemas de riego en la provincia de loja,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2116S04E609,construccion de la obra de toma de control de inundaciones y derivacion para el sistema de riego pasaje-machala ubi,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2117S04E609,control de inundaciones (reencauzamiento) y proteccion de las margenes del rio chuchumbletza en su tramo final ante,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2118S04E609,generacion y restauracion de areas verdes para la ciudad de guayaquil guayaquil ecologico,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2118S18E550,generacion y restauracion de areas verdes para la ciudad de guayaquil guayaquil ecologico,ministerio de desarrollo urbano y vivienda,sectorial desarrollo urbano y vivienda,0.0,0.0,0.0,0.0,0.0,0.0,12099356.090000002,6993.28,86329.6,64736.0,12185685.690000001,71729.28
P2119S04E609,estudio del proyecto multiproposito matala-casa vieja-nambacola,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P211S04E040,gestion integral de desechos solidos,ministerio del ambiente,sectorial ambiente,14183853.850000001,4910891.949999999,11984659.399999999,5024449.41,9574486.49,4729745.74,5545907.51,2159014.1199999996,219633.17,0.0,41508540.42,16824101.22
P2120S04E609,estudios del proyecto multiproposito tahuin,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2121S04E609,terminos de referencia para la contratacion de la consultoria: analisis de la vulnerabilidad a eventos de crecid,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2122S04E609,terminos de referencia para la contratacion de una consultoria para descontaminacion del rio nambija y sus aflue,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2123S04E609,estudios construccion sistemas de agua potable extrema pobreza,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2124S05E050,construccion y mejoramiento de la infraestructura,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,26745.6,2144.8,2228.8,0.0,28974.399999999998,2144.8
P2125S05E050,fortalecimiento de la policia nacional para operaciones de orden publico y seguridad ciudadana,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,95537381.60000001,0.0,118186336.35999998,22474291.499999996,213723717.95999998,22474291.499999996
P2126S05E050,fortalecimiento de la seguridad ciudadana mediant,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,20000000.0,0.0
P2127S05E050,construccion y equipamiento de tres escuelas de fo,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,4505781.55,0.0,0.0,0.0,4505781.55,0.0
P2128S05E050,desconcentracion de los servicios de seguridad en,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,31131410.369999997,10579392.83,0.0,0.0,31131410.369999997,10579392.83
P2129S05E050,fortalecimiento de la policia nacional para garant,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,94601830.03999999,0.0,0.0,0.0,94601830.03999999,0.0
P212S04E040,elaboracion del manual de procedimientos para la aplicacion de la normativa de evaluacion ambiental de proyectos,ministerio del ambiente,sectorial ambiente,6235465.03,2168865.08,6000000.0,1871265.0999999999,5760941.04,1917945.14,0.0,0.0,0.0,0.0,17996406.07,5958075.319999999
P212S04E609,elaboracion del manual de procedimientos para la aplicacion de la normativa de evaluacion ambiental de proyectos,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,2119537.6300000004,82396.55,3633493.0799999996,221907.18,5753030.71,304303.73
P2130S05E050,adquisicion de equipamiento especializado para el,ministerio de gobierno,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,18451156.310000002,0.0,0.0,0.0,18451156.310000002,0.0
P2131S05E051,modernizacion del sistema nacional del registro civil identificacion ycedulacin - fase masificacion,direccion general de registro civil identificacion y cedulacion,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,130560363.48,18671802.62,0.0,0.0,130560363.48,18671802.62
P2132S05E051,modernizacion del sistema nacional del registro ci,direccion general de registro civil identificacion y cedulacion,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,1176287.62,0.0,0.0,0.0,1176287.62,0.0
P2133S05E061,creacion implementacion y operacion del sistema u,secretaria de derechos humanos,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,3961574.9799999995,600367.43,0.0,0.0,3961574.9799999995,600367.43
P2134S05E061,implementacion de la estacion de monitoreo de shir,secretaria de derechos humanos,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,3572850.0,0.0,0.0,0.0,3572850.0,0.0
P2135S05E061,proyecto para la prevencion de violencia de genero,secretaria de derechos humanos,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,9862702.05,2200187.0700000003,6750202.159999999,3753105.6700000004,16612904.21,5953292.74
P2136S05E061,creacion de redes de medios comunitarios publicos,secretaria de derechos humanos,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,3039884.6099999994,554524.13,0.0,0.0,3039884.6099999994,554524.13
P2137S05E068,desarrollo y fortalecimiento institucional de la c,comision de transito del ecuador,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,10908955.499999998,7371.7,0.0,0.0,10908955.499999998,7371.7
P2138S05E068,control de transito en carreteras troncales del ec,comision de transito del ecuador,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,47599751.84,11498455.919999998,0.0,0.0,47599751.84,11498455.919999998
P2139S05E068,implementacion de unidades de rescate y emergencia,comision de transito del ecuador,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,2758957.52,0.0,0.0,0.0,2758957.52,0.0
P213S04E040,proyecto de recuperacion de las areas protegidas de la ciudad de guayaquil-estero salado e isla santay,ministerio del ambiente,sectorial ambiente,20345933.360000003,5582829.109999999,23403040.63,5374277.99,11984483.24,4540108.529999999,0.0,0.0,0.0,0.0,55733457.230000004,15497215.629999999
P213S04E609,proyecto de recuperacion de las areas protegidas de la ciudad de guayaquil-estero salado e isla santay,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,1264919.92,404524.89,2613291.38,1252999.14,3878211.3,1657524.0299999998
P2140S05E068,construccion e implementacion de oficinas para la,comision de transito del ecuador,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,20284412.199999996,4188.8,0.0,0.0,20284412.199999996,4188.8
P2141S05E069,implementacion de un sistema integral en la ant pa,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial,sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,2136045.0,0.0,0.0,0.0,2136045.0,0.0
